server_time,esp_millis,ecg,resp
1759864378.7759192,1397267.0,-1.0,-2.0
1759864378.800917,1397287.0,-2.0,-2.0
1759864378.8218656,1397307.0,0.0,-2.0
1759864378.8418891,1397327.0,0.0,-2.0
1759864378.8556101,1397347.0,-1.0,-2.0
1759864378.8751066,1397367.0,0.0,-2.0
1759864378.898702,1397387.0,0.0,-2.0
1759864378.9157171,1397407.0,0.0,-2.0
1759864378.9386928,1397427.0,0.0,-2.0
1759864378.955765,1397447.0,0.0,-2.0
1759864378.975537,1397467.0,-1.0,-2.0
1759864379.0004873,1397487.0,-1.0,-2.0
1759864379.0159304,1397507.0,-1.0,-2.0
1759864379.03641,1397527.0,-1.0,-2.0
1759864379.0593708,1397547.0,0.0,-2.0
1759864379.0795934,1397567.0,0.0,-2.0
1759864379.0975325,1397587.0,0.0,-2.0
1759864379.115483,1397607.0,-1.0,-2.0
1759864379.1483095,1397627.0,-1.0,-2.0
1759864379.1554658,1397647.0,-1.0,-2.0
1759864379.175571,1397667.0,-2.0,-2.0
1759864379.1950963,1397687.0,-1.0,-2.0
1759864379.216594,1397707.0,0.0,-2.0
1759864379.2359,1397727.0,-1.0,-2.0
1759864379.2562478,1397747.0,0.0,-2.0
1759864379.2751343,1397767.0,-1.0,-2.0
1759864379.2955453,1397787.0,-1.0,-2.0
1759864379.3176813,1397807.0,-1.0,-2.0
1759864379.3361485,1397827.0,0.0,-2.0
1759864379.3556616,1397847.0,0.0,-2.0
1759864379.37561,1397867.0,0.0,-2.0
1759864379.3950858,1397887.0,-1.0,-2.0
1759864379.4169395,1397907.0,-1.0,-2.0
1759864379.4359245,1397927.0,-2.0,-2.0
1759864379.455552,1397947.0,-1.0,-2.0
1759864379.4750473,1397967.0,-1.0,-2.0
1759864379.4989197,1397987.0,-1.0,-2.0
1759864379.5224497,1398007.0,-1.0,-2.0
1759864379.5362806,1398027.0,-1.0,-2.0
1759864379.5555627,1398047.0,-1.0,-2.0
1759864379.5753329,1398067.0,-1.0,-2.0
1759864379.5982034,1398087.0,-1.0,-2.0
1759864379.6174796,1398107.0,-1.0,-2.0
1759864379.6369314,1398127.0,-1.0,-2.0
1759864379.6557648,1398147.0,0.0,-2.0
1759864379.675203,1398167.0,-1.0,-2.0
1759864379.6954203,1398187.0,-1.0,-2.0
1759864379.716942,1398207.0,-1.0,-2.0
1759864379.7352908,1398227.0,0.0,-2.0
1759864379.7622838,1398247.0,0.0,-2.0
1759864379.7755864,1398267.0,0.0,-2.0
1759864379.7953203,1398287.0,0.0,-2.0
1759864379.8197832,1398307.0,-1.0,-2.0
1759864379.8432884,1398327.0,-1.0,-2.0
1759864379.8637002,1398347.0,-1.0,-2.0
1759864379.8773398,1398367.0,0.0,-2.0
1759864379.8955693,1398387.0,0.0,-2.0
1759864379.9152732,1398407.0,-1.0,-2.0
1759864379.9369974,1398427.0,-1.0,-2.0
1759864379.9569225,1398447.0,0.0,-2.0
1759864379.9794726,1398467.0,0.0,-2.0
1759864380.002599,1398487.0,-1.0,-2.0
1759864380.0169516,1398507.0,0.0,-2.0
1759864380.0368237,1398527.0,1.0,-2.0
1759864380.0680993,1398547.0,1.0,-2.0
1759864380.076857,1398567.0,0.0,-2.0
1759864380.1062448,1398587.0,1.0,-2.0
1759864380.1152303,1398607.0,1.0,-2.0
1759864380.1354089,1398627.0,1.0,-2.0
1759864380.165984,1398647.0,1.0,-2.0
1759864380.1757636,1398667.0,1.0,-2.0
1759864380.1985266,1398687.0,0.0,-2.0
1759864380.2358525,1398707.0,0.0,-2.0
1759864380.2359407,1398727.0,0.0,-2.0
1759864380.2555423,1398747.0,0.0,-2.0
1759864380.2837603,1398767.0,1.0,-2.0
1759864380.2956486,1398787.0,1.0,-2.0
1759864380.3271465,1398807.0,0.0,-2.0
1759864380.3408525,1398827.0,0.0,-2.0
1759864380.3605032,1398847.0,0.0,-2.0
1759864380.3812168,1398867.0,0.0,-2.0
1759864380.396897,1398887.0,0.0,-2.0
1759864380.4154954,1398907.0,0.0,-2.0
1759864380.4502306,1398927.0,-1.0,-2.0
1759864380.455499,1398947.0,0.0,-2.0
1759864380.4754834,1398967.0,1.0,-2.0
1759864380.4980574,1398987.0,1.0,-2.0
1759864380.5150836,1399007.0,1.0,-2.0
1759864380.5374734,1399027.0,1.0,-2.0
1759864380.5555682,1399047.0,0.0,-2.0
1759864380.5760992,1399067.0,-1.0,-2.0
1759864380.5956707,1399087.0,0.0,-2.0
1759864380.6169596,1399107.0,1.0,-2.0
1759864380.6398695,1399127.0,0.0,-2.0
1759864380.6566513,1399147.0,0.0,-2.0
1759864380.6768353,1399167.0,1.0,-2.0
1759864380.6957133,1399187.0,1.0,-2.0
1759864380.7152674,1399207.0,1.0,-2.0
1759864380.7377272,1399227.0,1.0,-2.0
1759864380.7613475,1399247.0,1.0,-2.0
1759864380.7772124,1399267.0,0.0,-2.0
1759864380.7961507,1399287.0,0.0,-31.0
1759864380.8157988,1399307.0,1.0,-32.0
1759864380.8352816,1399327.0,1.0,-32.0
1759864380.8559995,1399347.0,-1.0,-32.0
1759864380.8756235,1399367.0,0.0,-32.0
1759864380.8954918,1399387.0,1.0,-31.0
1759864380.9157054,1399407.0,1.0,-30.0
1759864380.9358542,1399427.0,1.0,-29.0
1759864380.98042,1399467.0,1.0,-28.0
1759864380.9956477,1399487.0,1.0,-26.0
1759864381.018277,1399507.0,1.0,-24.0
1759864381.035202,1399527.0,1.0,-22.0
1759864381.0593295,1399547.0,1.0,-19.0
1759864381.0760932,1399567.0,2.0,-17.0
1759864381.096092,1399587.0,1.0,-13.0
1759864381.1157796,1399607.0,1.0,-10.0
1759864381.1359878,1399627.0,2.0,-7.0
1759864381.1556637,1399647.0,2.0,-3.0
1759864381.1757298,1399667.0,3.0,1.0
1759864381.1962333,1399687.0,3.0,5.0
1759864381.2159781,1399707.0,2.0,9.0
1759864381.2351465,1399727.0,1.0,13.0
1759864381.2555006,1399747.0,3.0,17.0
1759864381.2771022,1399767.0,5.0,21.0
1759864381.2976344,1399787.0,7.0,25.0
1759864381.3164093,1399807.0,7.0,29.0
1759864381.3501148,1399827.0,6.0,33.0
1759864381.3560202,1399847.0,6.0,36.0
1759864381.3765063,1399867.0,5.0,39.0
1759864381.3958125,1399887.0,4.0,42.0
1759864381.417977,1399907.0,4.0,45.0
1759864381.4355464,1399927.0,4.0,47.0
1759864381.457989,1399947.0,4.0,49.0
1759864381.4759161,1399967.0,4.0,50.0
1759864381.4977505,1399987.0,3.0,51.0
1759864381.5151868,1400007.0,2.0,51.0
1759864381.5358615,1400027.0,2.0,51.0
1759864381.5560005,1400047.0,2.0,50.0
1759864381.5766163,1400067.0,2.0,49.0
1759864381.5966756,1400087.0,2.0,47.0
